Column1,Column2,Column3
Question 1,Estimated task time (ns),18100680275.0
Question 2,Estimated task time (ns),6289513146.0
Question 3,Estimated task time (ns),6598982575.0
Question 4,Estimated task time (ns),6051000897.0
Question 5,Estimated task time (ns),5152789087.0
Question 6,Estimated task time (ns),5796865123.0
Question 7,Estimated task time (ns),5520321642.0
Question 8,Estimated task time (ns),7110390023.0
Question 9,Estimated task time (ns),6683609043.0
Question 10,Estimated task time (ns),6160317379.0
Question 11,Estimated task time (ns),10375128514.0
Question 12,Estimated task time (ns),7228543120.0
Question 13,Estimated task time (ns),7280738250.0
Question 14,Estimated task time (ns),16058689530.0
Question 15,Estimated task time (ns),10180738241.0
Question 16,Estimated task time (ns),18845649711.0
Question 17,Estimated task time (ns),12181990253.0
Question 18,Estimated task time (ns),5078523836.0
Question 19,Estimated task time (ns),5259641706.0
Question 20,Estimated task time (ns),3958460677.0
Question 21,Estimated task time (ns),6368102679.0
Question 22,Estimated task time (ns),9814373235.0
Question 23,Estimated task time (ns),5127312496.0
Question 24,Estimated task time (ns),8032256598.0
Question 25,Estimated task time (ns),5718112669.0
Question 26,Estimated task time (ns),9588859934.0
Question 27,Estimated task time (ns),7854175896.0
Question 28,Estimated task time (ns),10015299436.0
Question 29,Estimated task time (ns),9534954789.0
Question 30,Estimated task time (ns),6476768732.0
Question 31,Estimated task time (ns),6745851052.0
Question 32,Estimated task time (ns),11785380827.0
Question 33,Estimated task time (ns),6106123266.0
Question 34,Estimated task time (ns),6030156917.0
Question 35,Estimated task time (ns),8971048414.0
Question 36,Estimated task time (ns),8204765864.0
Question 37,Estimated task time (ns),7742732141.0
Question 38,Estimated task time (ns),7383889478.0
Question 39,Estimated task time (ns),7595481928.0
Question 40,Estimated task time (ns),7978190943.0
Question 41,Estimated task time (ns),32268290463.0
Question 42,Estimated task time (ns),13071788715.0
Question 43,Estimated task time (ns),6362946368.0
Question 44,Estimated task time (ns),12175675076.0
Question 45,Estimated task time (ns),8181649015.0
