Column1,Column2,Column3
Question 1,Estimated task time (ns),28528083991.0
Question 2,Estimated task time (ns),5745197811.0
Question 3,Estimated task time (ns),5905872045.0
Question 4,Estimated task time (ns),7753597286.0
Question 5,Estimated task time (ns),7304034281.0
Question 6,Estimated task time (ns),8152397690.0
Question 7,Estimated task time (ns),8431689826.0
Question 8,Estimated task time (ns),9349810103.0
Question 9,Estimated task time (ns),12032910478.0
Question 10,Estimated task time (ns),8072508571.0
Question 11,Estimated task time (ns),7301721869.0
Question 12,Estimated task time (ns),7077398020.0
Question 13,Estimated task time (ns),11412709289.0
Question 14,Estimated task time (ns),8602596250.0
Question 15,Estimated task time (ns),8381252233.0
Question 16,Estimated task time (ns),8325586267.0
Question 17,Estimated task time (ns),9038223346.0
Question 18,Estimated task time (ns),9054224932.0
Question 19,Estimated task time (ns),5318231957.0
Question 20,Estimated task time (ns),10659312404.0
Question 21,Estimated task time (ns),5634614665.0
Question 22,Estimated task time (ns),10012672440.0
Question 23,Estimated task time (ns),11786838545.0
Question 24,Estimated task time (ns),6611380922.0
Question 25,Estimated task time (ns),8192099292.0
Question 26,Estimated task time (ns),7342752714.0
Question 27,Estimated task time (ns),10017958249.0
Question 28,Estimated task time (ns),9891412586.0
Question 29,Estimated task time (ns),7462721083.0
Question 30,Estimated task time (ns),7187462241.0
Question 31,Estimated task time (ns),6173550517.0
Question 32,Estimated task time (ns),7702619907.0
Question 33,Estimated task time (ns),6989514979.0
Question 34,Estimated task time (ns),7147706438.0
Question 35,Estimated task time (ns),6671228576.0
Question 36,Estimated task time (ns),15241276268.0
Question 37,Estimated task time (ns),6263132208.0
Question 38,Estimated task time (ns),7595468442.0
Question 39,Estimated task time (ns),12240494249.0
Question 40,Estimated task time (ns),8548082053.0
Question 41,Estimated task time (ns),14543847605.0
Question 42,Estimated task time (ns),6044763686.0
Question 43,Estimated task time (ns),8264994488.0
Question 44,Estimated task time (ns),8844396464.0
Question 45,Estimated task time (ns),6611251926.0
Question 46,Estimated task time (ns),7737194747.0
Question 47,Estimated task time (ns),8307264001.0
Question 48,Estimated task time (ns),8874579552.0
Question 49,Estimated task time (ns),7219695026.0
Question 50,Estimated task time (ns),6625713056.0
Number Questions Asked,50,
Number Questions Correctly Answered,47,
Aerage Response Time Per Question (ns),8764680911,
Question 1,Estimated task time (ns),55620503371.0
Question 2,Estimated task time (ns),17186664224.0
Question 3,Estimated task time (ns),29424865493.0
Question 4,Estimated task time (ns),17864634210.0
Question 5,Estimated task time (ns),35104997436.0
Question 6,Estimated task time (ns),7789790271.0
Question 7,Estimated task time (ns),6360470272.0
Question 8,Estimated task time (ns),21940146293.0
Question 9,Estimated task time (ns),24969090649.0
Question 10,Estimated task time (ns),33109631646.0
Question 11,Estimated task time (ns),33154349284.0
Question 12,Estimated task time (ns),28578955537.0
Question 13,Estimated task time (ns),34097396116.0
Question 14,Estimated task time (ns),9654255399.0
Question 15,Estimated task time (ns),21291024960.0
Question 16,Estimated task time (ns),18003779679.0
Question 17,Estimated task time (ns),42318298098.0
Question 18,Estimated task time (ns),20940203714.0
Question 19,Estimated task time (ns),44171631058.0
Question 20,Estimated task time (ns),38121973707.0
Question 21,Estimated task time (ns),37030468109.0
Question 22,Estimated task time (ns),33524584259.0
Question 23,Estimated task time (ns),31258386431.0
Question 24,Estimated task time (ns),60995073803.0
Question 25,Estimated task time (ns),55746863925.0
Question 26,Estimated task time (ns),35927588046.0
Question 27,Estimated task time (ns),26502131924.0
Question 28,Estimated task time (ns),32821794135.0
Question 29,Estimated task time (ns),59645043804.0
Question 30,Estimated task time (ns),37496473438.0
Question 31,Estimated task time (ns),28832751617.0
Question 32,Estimated task time (ns),53124813432.0
Question 33,Estimated task time (ns),16145940442.0
Question 34,Estimated task time (ns),52668156177.0
Question 35,Estimated task time (ns),25115762516.0
Question 36,Estimated task time (ns),18552444114.0
Question 37,Estimated task time (ns),4574216878.0
Question 38,Estimated task time (ns),72331334847.0
Question 39,Estimated task time (ns),13308639791.0
Question 40,Estimated task time (ns),8348925797.0
Question 41,Estimated task time (ns),33097786880.0
Question 42,Estimated task time (ns),13335124508.0
Question 43,Estimated task time (ns),9071464396.0
Question 44,Estimated task time (ns),23515137600.0
Question 45,Estimated task time (ns),16195585587.0
Question 46,Estimated task time (ns),79951518829.0
Question 47,Estimated task time (ns),20849635838.0
Question 48,Estimated task time (ns),12889469920.0
Question 49,Estimated task time (ns),23269967359.0
Question 50,Estimated task time (ns),13916737808.0
Number Questions Asked,50,
Number Questions Correctly Answered,50,
Aerage Response Time Per Question (ns),29794929672,
Question 1,Estimated task time (ns),56815409900.0
Question 2,Estimated task time (ns),42872689400.0
Question 3,Estimated task time (ns),26415806100.0
Question 4,Estimated task time (ns),10072822900.0
Question 5,Estimated task time (ns),5376676400.0
Question 6,Estimated task time (ns),26165602900.0
Question 7,Estimated task time (ns),7897739800.0
Question 8,Estimated task time (ns),5281493500.0
Question 9,Estimated task time (ns),14227649400.0
Question 10,Estimated task time (ns),2274336900.0
Question 11,Estimated task time (ns),16572518900.0
Question 12,Estimated task time (ns),26367476500.0
Question 13,Estimated task time (ns),11254373200.0
Question 14,Estimated task time (ns),16415597100.0
Question 15,Estimated task time (ns),13336340600.0
Question 16,Estimated task time (ns),9472693300.0
Question 17,Estimated task time (ns),24032109700.0
Question 18,Estimated task time (ns),12572807800.0
Question 19,Estimated task time (ns),9073214700.0
Question 20,Estimated task time (ns),8998923900.0
Question 21,Estimated task time (ns),5646921600.0
Question 22,Estimated task time (ns),7127969500.0
Question 23,Estimated task time (ns),7048141200.0
Question 24,Estimated task time (ns),5915369800.0
Question 25,Estimated task time (ns),7249001700.0
Question 26,Estimated task time (ns),8852284500.0
Question 27,Estimated task time (ns),5374105500.0
Question 28,Estimated task time (ns),25161571700.0
Question 29,Estimated task time (ns),14889609100.0
Question 30,Estimated task time (ns),12967371500.0
Question 31,Estimated task time (ns),8202158100.0
Question 32,Estimated task time (ns),10530463500.0
Question 33,Estimated task time (ns),10996126100.0
Question 34,Estimated task time (ns),9872881300.0
Question 35,Estimated task time (ns),9096076900.0
Question 36,Estimated task time (ns),17163290800.0
Question 37,Estimated task time (ns),19726744700.0
Question 38,Estimated task time (ns),9245576000.0
Question 39,Estimated task time (ns),9803574400.0
Question 40,Estimated task time (ns),15897200700.0
Question 41,Estimated task time (ns),11421307400.0
Question 42,Estimated task time (ns),9063399600.0
Question 43,Estimated task time (ns),10487179300.0
Question 44,Estimated task time (ns),14646143900.0
Question 45,Estimated task time (ns),18039214000.0
Question 46,Estimated task time (ns),11801685700.0
Question 47,Estimated task time (ns),16361438200.0
Question 48,Estimated task time (ns),9368233400.0
Question 49,Estimated task time (ns),11353221100.0
Question 50,Estimated task time (ns),13909109600.0
Number Questions Asked,50,
Number Questions Correctly Answered,44,
