sorting,0
loading,4
unloading,0
constructing,3
installing,5
finishing,2
restoring,2
repairing,0
processing,78
communication,603
medium,120
telecommunication,5
transporting,0
safety,93
security,330
law,126
operating,132
debugging,137
programming,449
reprogramming,0
language,252
psychology,1
sociology,0
anthropology,0
geography,11
philosophy,24
theology,0
history,58
archaeology,0
counselling,6
protection,28
cooking,2
preparing,15
serving,30
cleaning,10
teaching,24
instruction,18
medicine,1
therapy,8
negotiating,7
adjudicating,0
liasing,0
networking,100
training,175
advising,3
consulting,49
promoting,19
selling,7
interviewing,8
mathematics,56
statistic,29
physic,36
geosciences,3
chemistry,6
biology,8
designing,214
writing,203
performing,70
entertaining,3
engineering,525
computer,618
electrical,36
managing,107
planning,188
examining,1
diagnosing,3
analyzing,32
inspecting,0
testing,453
administration,53
finance,47
economics,7
accounting,22
HR,0
clerical,0
sale,66
marketing,93
leadership,142
motivation,10
evaluation,26
coordination,3
recruiting,76
hiring,131
supervising,6
google,78
photoshop,15
python,282
html,232
c++,0
c,344
java,316
javascript,383
c#,0
r,30
websearch,0
creativity,87
teamwork,59
adaptability,5
openness,15
responsibility,498
detail,213
seo,3
sem,0
cs,204
wordpress,21
email,132
cro,0
cm,15
social,114
copywriting,0
storytelling,0
delegation,1
negotiation,10
innovation,215
closing,18
storyboarding,3
bookkeeping,0
excel,50
sheet,1
accuracy,18
gui,12
github,67
api,165
indesign,2
sql,236
hive,7
scala,12
matlab,13
stata,0
spss,0
sa,4
wireframes,6
cpr,4
acls,0
foodsafe,0
listening,14
resolution,46
empathy,19
organization,115
